Disease,Description
Stomach Cancer,Stomach Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Strep Throat,Strep Throat is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Stress Incontinence,Stress Incontinence is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Stricture Of The Esophagus,Stricture Of The Esophagus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Stroke,"A stroke occurs when blood supply to part of the brain is cut off or a blood vessel bursts, causing brain damage and potential permanent disability."
Stye (Hordeolum),Stye (Hordeolum) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Subacute Thyroiditis,Subacute Thyroiditis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Subarachnoid Hemorrhage,Subarachnoid Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Subconjunctival Hemorrhage,Subconjunctival Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Subdural Hemorrhage,Subdural Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Substance-Related Mental Disorder,Substance-Related Mental Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Syndrome Of Inappropriate Secretion Of Adh (Siadh),Syndrome Of Inappropriate Secretion Of Adh (Siadh) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Syphilis,Syphilis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Syringomyelia,Syringomyelia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Systemic Lupus Erythematosus (SLE),"SLE is a systemic autoimmune disease where the immune system attacks its own tissues, causing inflammation in multiple organ systems."
Teething Syndrome,Teething Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Temporomandibular Joint Disorder,Temporomandibular Joint Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tendinitis,Tendinitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tension Headache,Tension Headache is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Testicular Cancer,Testicular Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Testicular Disorder,Testicular Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Testicular Torsion,Testicular Torsion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thalassemia,Thalassemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thoracic Aortic Aneurysm,Thoracic Aortic Aneurysm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thoracic Outlet Syndrome,Thoracic Outlet Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Threatened Pregnancy,Threatened Pregnancy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thrombocytopenia,Thrombocytopenia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thrombophlebitis,Thrombophlebitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thyroid Cancer,Thyroid Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thyroid Disease,Thyroid Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Thyroid Nodule,Thyroid Nodule is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tic (Movement) Disorder,Tic (Movement) Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tietze Syndrome,Tietze Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tinnitus Of Unknown Cause,Tinnitus Of Unknown Cause is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tonsillar Hypertrophy,Tonsillar Hypertrophy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tonsillitis,Tonsillitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tooth Abscess,Tooth Abscess is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tooth Disorder,Tooth Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Torticollis,Torticollis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tourette Syndrome,Tourette Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Toxic Multinodular Goiter,Toxic Multinodular Goiter is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Toxoplasmosis,Toxoplasmosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tracheitis,Tracheitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Transient Ischemic Attack,Transient Ischemic Attack is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Trichiasis,Trichiasis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Trichinosis,Trichinosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Trichomonas Infection,Trichomonas Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tricuspid Valve Disease,Tricuspid Valve Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Trigeminal Neuralgia,Trigeminal Neuralgia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Trigger Finger (Finger Disorder),Trigger Finger (Finger Disorder) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Tuberculosis (TB),"Tuberculosis is a potentially serious infectious disease caused by Mycobacterium tuberculosis, primarily affecting the lungs, causing cough, fever, and night sweats."
Tuberous Sclerosis,Tuberous Sclerosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Turner Syndrome,Turner Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Typhoid Fever,"Typhoid fever is a bacterial infection caused by Salmonella typhi, spread through contaminated food or water, causing sustained high fever and abdominal symptoms."
Ulcerative Colitis,Ulcerative colitis is a chronic inflammatory bowel disease causing inflammation and ulcers in the digestive tract lining.
Urethral Disorder,Urethral Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Urethral Stricture,Urethral Stricture is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Urethral Valves,Urethral Valves is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Urethritis,Urethritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Urge Incontinence,Urge Incontinence is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Urinary Tract Infection (UTI),"A UTI is an infection of the urinary system caused by bacteria, causing burning urination, frequent urge to urinate, and pelvic pain."
Urinary Tract Obstruction,Urinary Tract Obstruction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Uterine Atony,Uterine Atony is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Uterine Cancer,Uterine Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Uterine Fibroids,Uterine Fibroids is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Uveitis,Uveitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vacterl Syndrome,Vacterl Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vaginal Cyst,Vaginal Cyst is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vaginal Yeast Infection,Vaginal Yeast Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vaginismus,Vaginismus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vaginitis,Vaginitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Valley Fever,Valley Fever is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Varicocele Of The Testicles,Varicocele Of The Testicles is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Varicose Veins,"Varicose veins are enlarged, twisted veins visible under the skin, usually in the legs, caused by weakened vein valves and increased pressure."
Vasculitis,Vasculitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Venous Insufficiency,Venous Insufficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vertebrobasilar Insufficiency,Vertebrobasilar Insufficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vertigo (BPPV),"Benign Paroxysmal Positional Vertigo (BPPV) is the most common cause of vertigo, causing brief intense dizziness triggered by changes in head position."
Vesicoureteral Reflux,Vesicoureteral Reflux is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Viral Exanthem,Viral Exanthem is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Viral Hepatitis,Viral Hepatitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Viral Warts,Viral Warts is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vitamin B12 Deficiency,Vitamin B12 Deficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vitamin D Deficiency,Vitamin D Deficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vitreous Degeneration,Vitreous Degeneration is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vitreous Hemorrhage,Vitreous Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vocal Cord Polyp,Vocal Cord Polyp is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Volvulus,Volvulus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Von Willebrand Disease,Von Willebrand Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vulvar Cancer,Vulvar Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vulvar Disorder,Vulvar Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Vulvodynia,Vulvodynia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Wernicke Korsakoff Syndrome,Wernicke Korsakoff Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
White Blood Cell Disease,White Blood Cell Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Whooping Cough (Pertussis),Whooping Cough (Pertussis) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Wilson Disease,Wilson Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Yeast Infection,Yeast Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Zenker Diverticulum,Zenker Diverticulum is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
